name,seed,model,plddt,ptm,rmsd_start,rmsd_end
5KPH_2_4_2_0_combined_id21,43,5,91.70486111111111,0.75,1.2665516138076782,1.429430365562439
5KPH_2_4_9_0_combined_id8,44,5,94.2225,0.79,0.7241076827049255,1.9609566926956177
5KPE_2_8_7_0_combined_id9,44,4,80.72453703703704,0.63,2.2096197605133057,0.9023067951202393
5KPE_4_6_0_0_combined_id19,44,5,71.84925925925926,0.57,11.611377716064453,13.83471393585205
5KPE_4_8_4_0_combined_id10,43,5,87.80472222222222,0.71,1.5182982683181763,3.4729244709014893
5KPE_4_6_3_0_combined_id21,42,1,92.22138888888888,0.81,1.8192024230957031,3.4697389602661133
5KPH_2_2_9_0_combined_id12,42,2,96.03458333333332,0.83,0.6467541456222534,2.0457863807678223
5KPH_4_8_6_0_combined_id8,42,3,85.13444444444445,0.63,2.1646506786346436,2.582335948944092
5KPE_4_2_7_0_combined_id4,44,3,70.71611111111112,0.54,12.411051750183105,14.718527793884277
5KPE_2_4_2_0_combined_id8,43,5,83.50157407407407,0.68,2.3984971046447754,2.610665798187256
5KPE_4_4_9_0_combined_id9,44,4,59.77074074074074,0.47,7.652731418609619,9.666372299194336
5KPH_2_6_2_0_combined_id22,43,1,90.0938888888889,0.72,0.8537612557411194,2.352283239364624
5KPE_2_2_9_0_combined_id10,42,2,92.53601851851852,0.8,1.3525036573410034,1.424471139907837
5KPH_4_2_8_0_combined_id8,44,5,91.62111111111112,0.77,0.8962891697883606,4.060186386108398
5KPH_4_8_8_0_combined_id15,43,5,88.34638888888888,0.71,1.1011743545532227,4.155639171600342
5KPH_4_8_5_0_combined_id20,43,3,87.35,0.64,1.6497187614440918,4.928220272064209
5KPH_4_4_4_0_combined_id22,44,3,86.42222222222222,0.65,0.8660218119621277,3.756437063217163
5KPE_4_6_9_0_combined_id6,43,5,82.0037962962963,0.64,1.3834624290466309,3.4831383228302
5KPE_8_2_7_0_combined_id8,44,3,66.39925925925925,0.53,10.805305480957031,14.346327781677246
